"Entrez.ID"	"Gene.name"
1140	"CHRNB1"
1141	"CHRNB2"
1142	"CHRNB3"
1143	"CHRNB4"
1144	"CHRND"
1145	"CHRNE"
1146	"CHRNG"
1147	"CHUK"
1149	"CIDEA"
1152	"CKB"
1153	"CIRBP"
1154	"CISH"
1155	"TBCB"
1158	"CKM"
1160	"CKMT2"
1163	"CKS1B"
1164	"CKS2"
1173	"AP2M1"
1174	"AP1S1"
1175	"AP2S1"
1176	"AP3S1"
1178	"CLC"
1179	"CLCA1"
1180	"CLCN1"
1181	"CLCN2"
1182	"CLCN3"
1183	"CLCN4"
1184	"CLCN5"
1185	"CLCN6"
1186	"CLCN7"
1188	"CLCNKB"
1191	"CLU"
1192	"CLIC1"
1193	"CLIC2"
1196	"CLK2"
1198	"CLK3"
1200	"TPP1"
1201	"CLN3"
1203	"CLN5"
1208	"CLPS"
1209	"CLPTM1"
1211	"CLTA"
1212	"CLTB"
1213	"CLTC"
1215	"CMA1"
1230	"CCR1"
1232	"CCR3"
1233	"CCR4"
1234	"CCR5"
1236	"CCR7"
1237	"CCR8"
1238	"ACKR2"
1240	"CMKLR1"
1241	"LTB4R"
1244	"ABCC2"
1258	"CNGB1"
1259	"CNGA1"
1261	"CNGA3"
1263	"PLK3"
1264	"CNN1"
1266	"CNN3"
1267	"CNP"
1268	"CNR1"
1269	"CNR2"
1271	"CNTFR"
1272	"CNTN1"
1277	"COL1A1"
1278	"COL1A2"
1280	"COL2A1"
1281	"COL3A1"
1282	"COL4A1"
1284	"COL4A2"
1285	"COL4A3"
1286	"COL4A4"
1287	"COL4A5"
1288	"COL4A6"
1289	"COL5A1"
1290	"COL5A2"
1291	"COL6A1"
1292	"COL6A2"
1293	"COL6A3"
1294	"COL7A1"
1295	"COL8A1"
1296	"COL8A2"
1297	"COL9A1"
1298	"COL9A2"
1299	"COL9A3"
1300	"COL10A1"
1301	"COL11A1"
1302	"COL11A2"
1305	"COL13A1"
1306	"COL15A1"
1307	"COL16A1"
1308	"COL17A1"
1310	"COL19A1"
1311	"COMP"
1312	"COMT"
1314	"COPA"
1315	"COPB1"
1316	"KLF6"
1317	"SLC31A1"
1318	"SLC31A2"
1326	"MAP3K8"
1327	"COX4I1"
1329	"COX5B"
1337	"COX6A1"
1339	"COX6A2"
1340	"COX6B1"
1345	"COX6C"
1346	"COX7A1"
1347	"COX7A2"
1349	"COX7B"
1350	"COX7C"
1351	"COX8A"
1352	"COX10"
1353	"COX11"
1355	"COX15"
1356	"CP"
1357	"CPA1"
1358	"CPA2"
1359	"CPA3"
1360	"CPB1"
1361	"CPB2"
1362	"CPD"
1363	"CPE"
1365	"CLDN3"
1366	"CLDN7"
1368	"CPM"
1369	"CPN1"
1370	"CPN2"
1371	"CPOX"
1373	"CPS1"
1374	"CPT1A"
1376	"CPT2"
1380	"CR2"
1381	"CRABP1"
1382	"CRABP2"
1384	"CRAT"
1385	"CREB1"
1386	"ATF2"
1387	"CREBBP"
1388	"ATF6B"
1389	"CREBL2"
1390	"CREM"
1392	"CRH"
1393	"CRHBP"
1394	"CRHR1"
1395	"CRHR2"
1396	"CRIP1"
1397	"CRIP2"
1398	"CRK"
1399	"CRKL"
1400	"CRMP1"
1401	"CRP"
1404	"HAPLN1"
1406	"CRX"
1407	"CRY1"
1408	"CRY2"
1409	"CRYAA"
1410	"CRYAB"
1411	"CRYBA1"
1412	"CRYBA2"
1413	"CRYBA4"
1414	"CRYBB1"
1415	"CRYBB2"
1417	"CRYBB3"
1418	"CRYGA"
1419	"CRYGB"
1420	"CRYGC"
1421	"CRYGD"
1428	"CRYM"
1429	"CRYZ"
1431	"CS"
1432	"MAPK14"
1434	"CSE1L"
1435	"CSF1"
1436	"CSF1R"
1437	"CSF2"
1438	"CSF2RA"
1439	"CSF2RB"
1440	"CSF3"
1441	"CSF3R"
1445	"CSK"
1446	"CSN1S1"
1447	"CSN2"
1448	"CSN3"
1452	"CSNK1A1"
1453	"CSNK1D"
1454	"CSNK1E"
1455	"CSNK1G2"
1456	"CSNK1G3"
1457	"CSNK2A1"
1459	"CSNK2A2"
1462	"VCAN"
1463	"NCAN"
1464	"CSPG4"
1465	"CSRP1"
1466	"CSRP2"
1468	"SLC25A10"
1469	"CST1"
1470	"CST2"
1471	"CST3"
1473	"CST5"
1474	"CST6"
1475	"CSTA"
1476	"CSTB"
1477	"CSTF1"
1478	"CSTF2"
1479	"CSTF3"
1482	"NKX2-5"
1486	"CTBS"
1487	"CTBP1"
1488	"CTBP2"
1489	"CTF1"
1490	"CTGF"
1491	"CTH"
1493	"CTLA4"
1495	"CTNNA1"
1496	"CTNNA2"
1497	"CTNS"
1499	"CTNNB1"
1500	"CTNND1"
1501	"CTNND2"
1503	"CTPS1"
1506	"CTRL"
1508	"CTSB"
1509	"CTSD"
1510	"CTSE"
1511	"CTSG"
1512	"CTSH"
1513	"CTSK"
1514	"CTSL"
1515	"CTSV"
1519	"CTSO"
1520	"CTSS"
1521	"CTSW"
1522	"CTSZ"
1523	"CUX1"
1524	"CX3CR1"
1525	"CXADR"
1527	"TEX28"
1528	"CYB5A"
1535	"CYBA"
1536	"CYBB"
1537	"CYC1"
1539	"CYLC2"
1540	"CYLD"
1543	"CYP1A1"
1544	"CYP1A2"
1545	"CYP1B1"
1548	"CYP2A6"
1551	"CYP3A7"
1553	"CYP2A13"
1555	"CYP2B6"
1557	"CYP2C19"
1558	"CYP2C8"
1559	"CYP2C9"
1562	"CYP2C18"
1571	"CYP2E1"
1572	"CYP2F1"
1573	"CYP2J2"
1576	"CYP3A4"
1577	"CYP3A5"
1580	"CYP4B1"
1581	"CYP7A1"
1583	"CYP11A1"
1584	"CYP11B1"
1585	"CYP11B2"
1586	"CYP17A1"
1588	"CYP19A1"
1589	"CYP21A2"
1591	"CYP24A1"
1592	"CYP26A1"
1593	"CYP27A1"
1594	"CYP27B1"
1595	"CYP51A1"
1600	"DAB1"
1601	"DAB2"
1602	"DACH1"
1603	"DAD1"
1604	"CD55"
1605	"DAG1"
1606	"DGKA"
1607	"DGKB"
1608	"DGKG"
1609	"DGKQ"
1610	"DAO"
1611	"DAP"
1612	"DAPK1"
1613	"DAPK3"
1615	"DARS"
1616	"DAXX"
1618	"DAZL"
1620	"BRINP1"
1621	"DBH"
1622	"DBI"
1627	"DBN1"
1628	"DBP"
1629	"DBT"
1630	"DCC"
1632	"ECI1"
1633	"DCK"
1634	"DCN"
1635	"DCTD"
1636	"ACE"
1638	"DCT"
1639	"DCTN1"
1641	"DCX"
1642	"DDB1"
1644	"DDC"
1645	"AKR1C1"
1647	"GADD45A"
1649	"DDIT3"
1650	"DDOST"
1652	"DDT"
1653	"DDX1"
1654	"DDX3X"
1655	"DDX5"
1656	"DDX6"
1657	"DMXL1"
1659	"DHX8"
1660	"DHX9"
1662	"DDX10"
1665	"DHX15"
1666	"DECR1"
1669	"DEFA4"
1670	"DEFA5"
1671	"DEFA6"
1672	"DEFB1"
1673	"DEFB4A"
1674	"DES"
1675	"CFD"
1676	"DFFA"
1677	"DFFB"
1678	"TIMM8A"
1687	"DFNA5"
1690	"COCH"
1716	"DGUOK"
1717	"DHCR7"
1718	"DHCR24"
1719	"DHFR"
1723	"DHODH"
1725	"DHPS"
1727	"CYB5R3"
1728	"NQO1"
1729	"DIAPH1"
1730	"DIAPH2"
1733	"DIO1"
1734	"DIO2"
1735	"DIO3"
1736	"DKC1"
1737	"DLAT"
1738	"DLD"
1739	"DLG1"
1740	"DLG2"
1741	"DLG3"
1742	"DLG4"
1746	"DLX2"
1748	"DLX4"
1749	"DLX5"
1755	"DMBT1"
1756	"DMD"
1757	"SARDH"
1758	"DMP1"
1759	"DNM1"
1760	"DMPK"
1761	"DMRT1"
1770	"DNAH9"
1773	"DNASE1"
1774	"DNASE1L1"
1775	"DNASE1L2"
1776	"DNASE1L3"
1777	"DNASE2"
1778	"DYNC1H1"
1780	"DYNC1I1"
1781	"DYNC1I2"
1783	"DYNC1LI2"
1785	"DNM2"
1786	"DNMT1"
1787	"TRDMT1"
1788	"DNMT3A"
1789	"DNMT3B"
1791	"DNTT"
1793	"DOCK1"
1794	"DOCK2"
1795	"DOCK3"
1796	"DOK1"
1797	"DXO"
1798	"DPAGT1"
1800	"DPEP1"
1802	"DPH2"
1803	"DPP4"
1804	"DPP6"
1805	"DPT"
1806	"DPYD"
1807	"DPYS"
1808	"DPYSL2"
1809	"DPYSL3"
1810	"DR1"
1811	"SLC26A3"
1812	"DRD1"
1813	"DRD2"
1814	"DRD3"
1815	"DRD4"
1816	"DRD5"
1819	"DRG2"
1820	"ARID3A"
1821	"DRP2"
1822	"ATN1"
1823	"DSC1"
1824	"DSC2"
1825	"DSC3"
1826	"DSCAM"
1827	"RCAN1"
1828	"DSG1"
1829	"DSG2"
1830	"DSG3"
1831	"TSC22D3"
1832	"DSP"
1833	"EPYC"
1834	"DSPP"
1836	"SLC26A2"
1837	"DTNA"
1838	"DTNB"
1839	"HBEGF"
1841	"DTYMK"
1842	"ECM2"
1843	"DUSP1"
1844	"DUSP2"
1845	"DUSP3"
1846	"DUSP4"
1847	"DUSP5"
1848	"DUSP6"
1850	"DUSP8"
1852	"DUSP9"
1854	"DUT"
1855	"DVL1"
1856	"DVL2"
1857	"DVL3"
1859	"DYRK1A"
1861	"TOR1A"
1869	"E2F1"
1870	"E2F2"
1871	"E2F3"
1874	"E2F4"
1875	"E2F5"
1876	"E2F6"
1877	"E4F1"
1880	"GPR183"
1889	"ECE1"
1890	"TYMP"
1891	"ECH1"
1892	"ECHS1"
1893	"ECM1"
1894	"ECT2"
1896	"EDA"
1901	"S1PR1"
1902	"LPAR1"
1906	"EDN1"
1907	"EDN2"
1908	"EDN3"
1909	"EDNRA"
1910	"EDNRB"
1912	"PHC2"
1915	"EEF1A1"
1917	"EEF1A2"
1933	"EEF1B2"
1936	"EEF1D"
1937	"EEF1G"
1938	"EEF2"
1939	"EIF2D"
1942	"EFNA1"
1943	"EFNA2"
1944	"EFNA3"
1945	"EFNA4"
1947	"EFNB1"
1948	"EFNB2"
1949	"EFNB3"
1950	"EGF"
1952	"CELSR2"
1953	"MEGF6"
1956	"EGFR"
1958	"EGR1"
1959	"EGR2"
1960	"EGR3"
1961	"EGR4"
1962	"EHHADH"
1964	"EIF1AX"
1965	"EIF2S1"
1967	"EIF2B1"
1968	"EIF2S3"
1969	"EPHA2"
1973	"EIF4A1"
1974	"EIF4A2"
1975	"EIF4B"
1977	"EIF4E"
1978	"EIF4EBP1"
1979	"EIF4EBP2"
1981	"EIF4G1"
1982	"EIF4G2"
1983	"EIF5"
1984	"EIF5A"
1991	"ELANE"
1992	"SERPINB1"
1993	"ELAVL2"
1994	"ELAVL1"
1995	"ELAVL3"
1996	"ELAVL4"
1997	"ELF1"
1998	"ELF2"
1999	"ELF3"
2000	"ELF4"
2001	"ELF5"
2002	"ELK1"
2004	"ELK3"
2005	"ELK4"
2006	"ELN"
2009	"EML1"
2010	"EMD"
2011	"MARK2"
2012	"EMP1"
2013	"EMP2"
2014	"EMP3"
2015	"ADGRE1"
2016	"EMX1"
2017	"CTTN"
2018	"EMX2"
2019	"EN1"
2020	"EN2"
2021	"ENDOG"
2022	"ENG"
2023	"ENO1"
2026	"ENO2"
2027	"ENO3"
2028	"ENPEP"
2029	"ENSA"
2030	"SLC29A1"
2033	"EP300"
2034	"EPAS1"
2035	"EPB41"
2036	"EPB41L1"
2037	"EPB41L2"
2038	"EPB42"
2039	"DMTN"
2040	"STOM"
2041	"EPHA1"
2042	"EPHA3"
2043	"EPHA4"
2044	"EPHA5"
2045	"EPHA7"
2047	"EPHB1"
2048	"EPHB2"
2049	"EPHB3"
2050	"EPHB4"
2051	"EPHB6"
2052	"EPHX1"
2053	"EPHX2"
2054	"STX2"
2055	"CLN8"
2056	"EPO"
2057	"EPOR"
2058	"EPRS"
2059	"EPS8"
2060	"EPS15"
2063	"NR2F6"
2064	"ERBB2"
2065	"ERBB3"
2066	"ERBB4"
2067	"ERCC1"
2068	"ERCC2"
2069	"EREG"
2070	"EYA4"
2071	"ERCC3"
2072	"ERCC4"
2073	"ERCC5"
2077	"ERF"
2078	"ERG"
2079	"ERH"
2081	"ERN1"
2091	"FBL"
2098	"ESD"
2099	"ESR1"
2100	"ESR2"
2103	"ESRRB"
2104	"ESRRG"
2107	"ETF1"
2108	"ETFA"
2109	"ETFB"
2110	"ETFDH"
2113	"ETS1"
2114	"ETS2"
2115	"ETV1"
2117	"ETV3"
2118	"ETV4"
2119	"ETV5"
2120	"ETV6"
2121	"EVC"
2124	"EVI2B"
2125	"EVPL"
2128	"EVX1"
2130	"EWSR1"
2131	"EXT1"
2132	"EXT2"
2134	"EXTL1"
2135	"EXTL2"
2137	"EXTL3"
2138	"EYA1"
2139	"EYA2"
2140	"EYA3"
2145	"EZH1"
2146	"EZH2"
2147	"F2"
2149	"F2R"
2150	"F2RL1"
2151	"F2RL2"
2152	"F3"
2153	"F5"
2155	"F7"
2157	"F8"
2158	"F9"
2159	"F10"
2160	"F11"
2161	"F12"
2162	"F13A1"
2165	"F13B"
2166	"FAAH"
